,placeId,0,1,3,4,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,placeLatitude,placeLongitude
0,0391c91d9d088672,,,,,,,,,,"{'#sherlock': 1, '#hgtvnewyear': 1, '#newyearrocks': 85, '#winterclassic': 3, '#amazing': 1, '#seaofblue': 1}","{'#awesome': 1, '#sherlock': 1, '#seaofblue': 1, '#newyearrocks': 50, '#2014': 1, '#winterclassic': 1, '#sherlocklives': 1}","{'#awesome': 1, '#winterclassic': 2, '#sherlocklives': 1, '#newyearrocks': 50}","{'#winterclassic': 1, '#sherlocklives': 2, '#newyearrocks': 61}","{'#awesome': 2, '#sherlock': 2, '#justloveit': 1, '#newyearrocks': 78}","{'#justloveit': 2, '#newyearrocks': 36}",{'#newyearrocks': 11},,,{'#justloveit': 1},46.8569,6.99033
1,074e8e9c015cc007,,,,,,,,,,"{'#awesome': 1, '#winterclassic': 2, '#hgtvnewyear': 1, '#newyearrocks': 70}","{'#sherlock': 1, '#winterclassic': 3, '#newyearrocks': 54}","{'#awesome': 1, '#winterclassic': 5, '#nhl': 1, '#newyearrocks': 61}","{'#sherlock': 1, '#hgtvnewyear': 1, '#winterclassic': 2, '#newyearrocks': 62, '#justloveit': 1, '#nhl': 1}","{'#awesome': 2, '#hgtvnewyear': 1, '#justloveit': 2, '#winterclassic': 3, '#2014': 2, '#newyearrocks': 97, '#nhl': 2}","{'#winterclassic': 3, '#nhl': 1, '#newyearrocks': 54}",{'#newyearrocks': 21},,,,47.4467,9.03195
2,09280ddf24ad77bb,,,,,,,,,{'#justloveit': 1},"{'#winterclassic': 1, '#newyearrocks': 1}",,,,,,,,,,47.4033,7.935010000000001
3,0a0aeb70ec49aaa9,,,,,{'#happynewyear': 1},,,,,,,,,,,,,,,46.4843,6.67325
4,0a827ae5f74beb81,,,,,,,,,,"{'#sherlock': 2, '#newyearrocks': 94, '#happynewyear': 2, '#winterclassic': 1, '#2014': 2, '#amazing': 2, '#sherlocklives': 1}","{'#happynewyear': 1, '#winterclassic': 2, '#amazing': 1, '#sherlocklives': 1, '#newyearrocks': 67}","{'#awesome': 3, '#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 58}","{'#winterclassic': 4, '#2014': 1, '#hgtvnewyear': 2, '#sherlocklives': 1, '#newyearrocks': 80}","{'#awesome': 1, '#sherlock': 2, '#newyearrocks': 104, '#winterclassic': 3, '#justloveit': 1, '#nhl': 1}","{'#awesome': 1, '#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 53}","{'#sherlocklives': 1, '#newyearrocks': 20}",{'#justloveit': 2},,{'#justloveit': 1},47.3937,8.08986
5,103ec739a5cbb358,,,,,,,,,,"{'#winterclassic': 4, '#newyearrocks': 122, '#sherlocklives': 1, '#amazing': 1}","{'#awesome': 1, '#winterclassic': 1, '#amazing': 1, '#newyearrocks': 87}","{'#awesome': 3, '#seaofblue': 1, '#amazing': 1, '#winterclassic': 1, '#2014': 2, '#newyearrocks': 74}","{'#awesome': 2, '#newyearrocks': 70, '#sherlocklives': 1, '#winterclassic': 3}","{'#awesome': 2, '#2014': 2, '#amazing': 1, '#sherlocklives': 1, '#newyearrocks': 129}","{'#awesome': 1, '#winterclassic': 3, '#newyearrocks': 63}","{'#winterclassic': 3, '#amazing': 2, '#newyearrocks': 42}",,,,46.1867,6.97422
6,1067fd7acdcc5620,,,,,,,,,,{'#newyearrocks': 2},,,,,,,,,,47.4746,7.584339999999999
7,119b460e0978eced,,,,,,,,{'#2014': 1},,,,,,,,,,,,46.2687,10.5091
8,15c163bc6534619d,,,,,,,,,,,{'#2014': 1},,,,,{'#2014': 1},,,,46.01,7.3331
9,17f10b76bf7ce828,{'#seaofblue': 1},,,,,,,,,,,,,,,,,,,46.1609,7.11725
