date,1,2,3,4,5
2015-02-24,"('gs15', 139683.72962177006)","('hasbara', 67243.755218134058)","('votebbrave', 49137.229142444434)","('lanterne', 39299.189738251538)","('tweetofinterest', 32466.821452423177)"
2015-02-25,"('onedirectionbrit', 645612.25)","('britonedirection', 127084.2321801934)","('neverbealoneofficialvideo', 104006.25)","('edsheeranbrit', 30800.25)","('britawards', 21058.416640340634)"
2015-02-26,"('antisemitism', 158924.01798123342)","('voteukdirectioners', 31528.815025765787)","('nsvote', 9480.8175601421808)","('kca', 9314.067424855175)","('sotnghana', 8556.25)"
2015-02-27,"('sma15', 6346663.187598696)","('votesami', 60721.974398249775)","('forteforteforte', 30050.514284359495)","('starssoushypnose', 12327.846731449477)","('internship', 7019.1803431805347)"
2015-02-28,"('camsfollowingspree', 1607487.0611402588)","('srfdgst', 53478.02036075748)","('otratour', 30407.934326710732)","('badeferien', 541.29410654170999)","('ferien', 537.85658938186464)"
2015-03-01,"('offendeveryonein4words', 877034.02894526767)","('happybirthdayjustinbieber', 81391.862886102317)","('antisemitism', 29537.252723803354)","('fucklechômage', 20886.60340626998)","('vote1duk', 5686.7530716124711)"
2015-03-02,"('hrc28', 713277.65480550728)","('geneva2015', 160743.74512137618)","('gims', 131799.45452139096)","('woulduloveme', 45383.018431495511)","('heatjanoskians', 10100.25)"
2015-03-03,"('gims', 862115.58215703117)","('skipthespeech', 602089.83874676237)","('geneva2015', 132620.80497901849)","('genevamotorshow', 58054.230651611782)","('cashinvestigation', 28628.105175262608)"
2015-03-04,"('shawninlondon', 77006.25)","('shawnmendesvevo', 77006.25)","('geneva2015', 8737.5656329725789)","('gims', 7563.1649021810972)","('eds', 3765.8110668038094)"
2015-03-05,"('askcam3', 6805745.213167822)","('20daysofdallas', 2313555.9777169824)","('hrc28', 51963.206175036423)","('robertthurmanstoplying', 4160.25)","('eds', 2227.5818477270186)"
2015-03-06,"('terapiaderisas', 77958948.56267263)","('beyondtheinstall', 427254.27465889603)","('fifdh15', 64606.273028901371)","('robertthurmanstoplying', 53475.894611745338)","('hrc28', 9828.1638492501315)"
2015-03-07,"('terapiaderisas', 103328.66080439348)","('fifdh15', 16330.402635219865)","('cepostaperte', 5200.7784552406611)","('gshc', 751.563942503264)","('lhc', 149.57768692180545)"
2015-03-08,"('followmeskip', 211143.66923572225)","('lesanges7', 195534.87878497358)","('iwd2015', 114514.39988261282)","('internationalwomensday', 67613.696044037104)","('napoliinter', 63311.608042058571)"
2015-03-09,"('jamesfollowspree', 46835709.91042316)","('fucklechômage', 8370.8905385556864)","('hrc28', 5314.3010894865456)","('icvapop', 1980.25)","('kca', 425.74915751220266)"
2015-04-22,"('earthday', 34104.874269642918)","('suchamps', 870.25)","('ferientag15', 812.25)","('chilhavisto', 762.46126165210774)","('monacojuve', 650.25)"
2015-04-23,"('salt', 46111.02063349972)","('ferientag15', 28043.86161822642)","('ibtissamtiskat', 17150.733012075889)","('cashvsjacks', 2162.25)","('travel', 361.9837144509508)"
2015-04-24,"('mtghdr', 31668.22494065416)","('mydestination', 31668.22494065416)","('semih', 28788.946768065329)","('travelingram', 21826.821387342548)","('mtg', 21003.322390542686)"
2015-04-25,"('angrywords', 23207493.903659668)","('interroma', 36352.415635087629)","('25aprile', 13986.114959610177)","('mydestination', 12896.267266748693)","('mtghdr', 12896.267266748693)"
2015-04-26,"('jamesyammounishow', 2361108.6635298221)","('gcyb', 29863.960279418636)","('bestfandomca2015', 3660.25)","('giselle', 420.25)","('tatort', 281.94624290821861)"
2015-04-27,"('justincometoswitzerland', 34625.635578498164)","('camtalk', 9900.25)","('camoniheart', 9702.25)","('bachelorette', 7902.1910027699932)","('onceuponatime', 3382.7544246149964)"
2015-04-28,"('ineedu', 669962.06280335481)","('방탄소년단', 599175.37057016324)","('justincometoswitzerland', 350598.45501426002)","('bestfandomca2015', 280334.35698913061)","('lfhdka', 149435.76566977211)"
2015-04-29,"('wilforum', 427299.72368221858)","('bestfandomca2015', 220266.02994408066)","('justincometoswitzerland', 76385.318860812826)","('quoteoftheday', 7203.8196562539515)","('tvoi', 3253.9563407393111)"
2015-04-30,"('bestfandomca2015', 40309.962174508764)","('expo2015', 3035.2523722883248)","('controleurs', 85.963742446423481)","('badeferien', 29.87726438348006)","('ferien', 28.20983108098735)"
2015-05-01,"('더쇼', 458240.34054634057)","('expo2015milano', 70003.986476237624)","('noexpo', 66395.492659423151)","('방탄소년단', 55803.102408256411)","('bestfandomca2015', 10732.584572928539)"
2015-05-02,"('a3live', 700332.05428805563)","('bestfandomca2015', 180794.30119710453)","('royalbaby', 136661.21136553094)","('mathetgaetan', 90902.25)","('더쇼', 19851.264507176136)"
2015-05-03,"('vampssaythanks', 3066917.3360456936)","('bestfandomca2015', 331544.89512180164)","('fczyb', 282201.07780857047)","('pacquiaomayweather', 206553.42780000149)","('더쇼', 45011.91804698242)"
2015-05-04,"('asktokiohotel', 237425.15243869257)","('crystalball', 209098.96673750097)","('maythe4thbewithyou', 42454.349013477775)","('starwarsday', 27170.442474326032)","('beliebers4music', 3540.25)"
2015-05-05,"('juvrma', 307540.56679064961)","('liferider', 41338.418987470679)","('crystalball', 35587.951786029829)","('juvereal', 29783.993474043153)","('finance20', 23631.119859402806)"
2015-05-06,"('acie15', 423736.56294201536)","('bestsmileca2015', 359681.25768559612)","('def2015', 306817.06203165354)","('barcabayern', 79742.166183911031)","('whoisclary', 77432.219739799024)"
2015-05-07,"('45sgs', 4069884.996951303)","('jeanne', 1553940.5117885305)","('juntadatinistaenfrancia', 81879.499066816818)","('justincometoswitzerland', 4219.7138890250999)","('frauentausch', 2828.3411803374474)"
2015-05-08,"('whereareünow', 1153182.5900656837)","('whoisalec', 186772.2373534973)","('45sgs', 39365.959268610277)","('platiniumshop', 33028.184404838401)","('platinium', 32109.041977762903)"
2015-05-09,"('stars80', 319228.15300538047)","('نغنيوها_مغربية_مع_ابتسام_تسكت', 248937.89637360498)","('radiosweetmoreno', 48620.25)","('amici14', 19472.135584648589)","('badeferien', 432.72768358665479)"
2015-05-10,"('suican', 541488.13823360961)","('rowysozurich', 295483.38104147027)","('benjiefedertl', 105300.25)","('radiosweetmoreno', 30917.527501433378)","('nashsnewvideo', 1220.6127545617057)"
2015-05-11,"('upr22', 104101.97808254915)","('bachelorette', 12918.058907139188)","('unitednations', 4678.8290334709964)","('moresurnrj', 1640.25)","('onceuponatime', 1302.620241723791)"
2015-05-12,"('klimafrokost', 667544.85358483484)","('reflection', 232232.97417963514)","('moresurnrj', 67606.280584102889)","('sasforum', 40753.971268648005)","('tropheesunfp', 22973.432705362338)"
2015-05-13,"('realjuve', 79867.575447209747)","('moresurnrj', 8017.6984013247393)","('rmajuv', 1980.25)","('chilhavisto', 1732.2197409809103)","('ferien', 69.166947507523588)"
2015-05-14,"('gntmfinale', 45140.750007783892)","('groovemusicvideo', 34040.25)","('dueannidistecca', 14042.25)","('arianacometoswitzerland', 11225.737967327466)","('beatification', 10290.766936334152)"
2015-05-15,"('fantasybasel', 122685.47457183072)","('kohlanta', 1589.0971958630284)","('tvoi', 1396.0808341921236)","('quartogrado', 459.45830353602395)","('badeferien', 213.05018801722608)"
2015-05-16,"('arianacometoswitzerland', 1094932.1179012421)","('uxcampch', 16168.379768447316)","('amici14', 8246.553169075265)","('primavera', 8167.2506421685439)","('varesetorino', 1806.25)"
2015-05-17,"('wewantanother1dday', 4756903.1888210876)","('wewantnocontrolasasingle', 211821.2918525578)","('wha68', 87662.301899513128)","('mtvtedoyvillalobos', 81993.702283582767)","('nocontrolday', 5256.25)"
2015-05-18,"('motavatormonday', 28174131.376481082)","('wha68', 431506.32883513137)","('ebace15', 44105.81013451764)","('weareg4surgery', 27701.630121112714)","('globalsurgery', 16042.445232714914)"
2015-05-19,"('esf15', 1303155.9821000639)","('drugtrafficking', 828338.67371712974)","('guineabissau', 753916.79756778048)","('hooked', 386948.04610169411)","('esc15', 380935.81827810034)"
2015-05-20,"('delinkage', 370704.54272482212)","('wha68', 134064.41009009941)","('ebace15', 19448.161611949014)","('followmemadison', 13806.25)","('تلميذ_فتانويه', 420.25)"
2015-05-21,"('abilitatitfa', 3529799.5836537294)","('esc2015', 140000.62609966614)","('eurovision2015', 105096.47576887862)","('esc15', 83403.380042390709)","('wha68', 71841.955817123497)"
2015-05-22,"('seocamp', 1244441.8805223571)","('wha68', 16851.171844410659)","('tvditalia1', 13012.844535557926)","('rsipattichiari', 1414.2214492829869)","('lakecomo', 814.74759278635304)"
2015-05-23,"('1dformmva', 46785456.994235747)","('esc2015', 1145981.0289322326)","('23maggio1992', 534742.81233858259)","('edurnevision', 479440.99454107246)","('escse', 479440.99454107246)"
2015-05-24,"('justinformmva', 662286.51752041059)","('newweeklychrisvid', 4692.25)","('badeferien', 419.5079667362308)","('ferien', 405.49887157397677)","('como', 91.193933712151221)"
2015-05-25,"('wps', 249732.51729263857)","('wha68', 2317.8992003400776)","('et_ep100', 930.25)","('charliecharliechallenge', 756.25)","('waverideronellen', 506.25)"
2015-05-26,"('theisland', 529123.47945075028)","('cswgeneva', 141783.79069062023)","('giro', 9005.9940740446782)","('wsis', 8564.7931355671026)","('wha68', 1317.2275850530316)"
2015-05-27,"('deborahiuratovinceamici13', 100806.25)","('fifa', 37325.668434848863)","('giro', 4326.7083560988167)","('wsis', 3818.2410011714787)","('eb137', 1806.25)"
2015-05-28,"('teenchoice', 6563926.2198963594)","('shawnformmva', 283017.06557441427)","('veloextra', 19637.608067520618)","('choicetvliplock', 18906.25)","('choicetvchemistry', 18906.25)"
2015-05-29,"('fifacongress', 1895019.1410922771)","('blatter', 51550.73446670275)","('fifa', 25541.408603956501)","('srfarena', 4545.4166098186888)","('giro', 4350.8694608382693)"
2015-05-30,"('iautrail', 388123.58981864894)","('delena', 332800.43160872982)","('teenchoice', 240553.54311068958)","('1dformmva', 131016.57181165657)","('choicetvliplock', 90832.562903933751)"
2015-05-31,"('delena', 118694.16971481686)","('choicetvliplock', 69058.573463951107)","('choicetvchemistry', 69058.573463951107)","('teenchoice', 46294.760391258191)","('justinformmva', 23316.621737568192)"
2015-06-01,"('gppswiss15', 9736.4152004627431)","('justinformmva', 4796.9508245128236)","('teenchoice', 3850.1386713677139)","('piazzapulita', 1308.7068977006975)","('kschsv', 870.25)"
2015-06-02,"('choiceviner', 737441.85593850748)","('ibtissamtiskatinmawazine', 272916.03004853165)","('theislandm6', 82407.719587071057)","('blatter', 33112.444575714086)","('shawnformmva', 6561.5655305173295)"
2015-06-03,"('shawnformmva', 157073.16545191675)","('smartcitizen', 19639.700289933444)","('derechosonuve', 13806.25)","('tvditalia1', 7267.7439385598573)","('share', 6357.2652585002552)"
2015-06-04,"('shawnformmva', 593020.94847852283)","('croatialovesyou', 523670.58499435353)","('sef2015', 298929.5138464577)","('evianchampqualies', 85007.710057258824)","('ilc2015', 21541.95432608101)"
2015-06-05,"('pmcampzue', 207927.1231674185)","('amici14', 123704.37042334721)","('shawnformmva', 54599.85287464541)","('sef2015', 18444.605897386413)","('uclfinal', 17286.680373350635)"
2015-06-06,"('juvefcb', 872783.39815546782)","('juvebarca', 306010.81219614373)","('championsleaguefinal', 127183.86174972526)","('uclfinal', 105115.75443675277)","('dalailamastoplying', 83232.25)"
2015-06-07,"('frabel', 4987395.8732752502)","('rolandgarros2015', 47565.843898732004)","('rg15', 16552.44695446609)","('scherma', 8434.6890431746178)","('fencing', 7521.3562881312209)"
2015-06-08,"('bc2', 664645.5065765687)","('enic_naric', 417170.00916163676)","('amoramoramor', 151048.74811224491)","('mtvawardsstar', 119858.69089254255)","('traumfraugesucht', 63837.818354445611)"
2015-06-09,"('enic_naric', 47784.124561529803)","('mtvawardsstar', 13006.298762347118)","('sui', 160.98871155874082)","('badeferien', 68.968837811580713)","('ferien', 66.061192805971089)"
2015-06-10,"('ecomzh', 1259745.2527132728)","('mhchat', 83799.119677055423)","('shawnformmva', 5001.5704824548584)","('syria', 523.70016537054323)","('lhc', 143.5379450776683)"
2015-06-11,"('voilavoilaendirect', 22350.25)","('soon', 8840.7693212714603)","('ilc2015', 6792.325955765753)","('climatechange', 4343.9608530292899)","('scherma', 4119.7820567674771)"
2015-06-12,"('nochildlabour', 1709402.130883683)","('liec', 814163.45570283139)","('exodirecto', 183573.17700300153)","('justinformmva', 2982.0434301983137)","('kohlanta', 1220.6137742885671)"
2015-06-13,"('ls15', 2245087.5913753249)","('wvp15', 343176.96372464392)","('bcbs15', 72875.069807187945)","('falsedalailamastoplying', 14762.25)","('ibtissamtiskat', 10341.083763508404)"
2015-06-14,"('tuttadunfiato', 132860.25)","('eurosportlemans', 91636.095692612362)","('italianmtvawards', 84755.160589669569)","('abst15', 66519.49127729029)","('1dcometoswitzerlandfor2016', 22650.25)"
2015-06-15,"('e32015', 720145.26366330869)","('hrc29', 211207.63020908227)","('1dcometoswitzerlandfor2016', 177393.71583215776)","('tuttadunfiato', 23725.22111259797)","('artbasel', 1383.375330671759)"
2015-06-16,"('h2020wecandoit', 501185.69298011682)","('socialchangeart', 219607.04521190992)","('artbasel2015', 89480.662066169956)","('skysportbaku', 24648.860265593597)","('artbasel', 16477.308317277151)"
2015-06-17,"('artbasel2015', 80225.624466784357)","('artbasel', 22874.584206945248)","('bac2015', 20193.878739681291)","('hrc29', 11113.994544835441)","('gallery', 4383.9166481327693)"
2015-06-18,"('icpic15', 83552.778170908874)","('erepday', 35018.992875551536)","('artbasel2015', 23129.25611259574)","('contemporaryart', 8492.0921593386847)","('hrc29', 7871.0287016581478)"
2015-06-19,"('hrc29', 7266.7082583959682)","('artbasel2015', 7249.6022827103398)","('artbasel', 4305.8860789879018)","('kohlanta', 791.46243235475379)","('rocknrollcircus', 462.25)"
2015-06-20,"('telefilmaddicted', 520463.74173100892)","('lcdla', 368425.83147106215)","('цвете', 28797.567576306661)","('花', 17770.307788534392)","('blume', 16780.682546167569)"
2015-06-21,"('camerontoswitzerland', 19341412.722959992)","('stopyulin2015', 50368.059386448338)","('ägypten', 16377.994325602976)","('xfactoradria', 13897.851362975342)","('skysportbaku', 5581.6580192128295)"
2015-06-22,"('hrc29', 7589.124838334883)","('lausanne', 117.41797461108256)","('switzerland', 36.695168891696369)","('controleurs', 15.033670471567778)","('job', 8.3085570595638494)"
2015-06-23,"('poew', 81148.660336344517)","('hrc29', 4196.6327708518556)","('hiring', 525.74314368113062)","('controleurs', 45.304834507637302)","('job', 12.275421835570629)"
