date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2015-06-12,25.0,47.3774,8.536760000000001,nochildlabour,1709402.130883683
2015-06-13,14.0,47.8188,7.95416,ls15,2245087.591375325
2015-06-14,22.0,46.3117,9.27756,tuttadunfiato,132860.25
2015-06-15,40.0,46.2048,6.14319,e32015,720145.2636633087
2015-06-16,24.0,46.2048,6.14319,h2020wecandoit,501185.6929801168
2015-06-17,106.0,47.5596,7.583139999999999,artbasel2015,80225.62446678436
2015-06-18,59.0,47.7218,7.2827399999999995,icpic15,83552.77817090887
2015-06-19,21.0,47.5596,7.583139999999999,hrc29,7266.708258395968
2015-06-20,14.0,46.5286,6.56354,telefilmaddicted,520463.7417310089
2015-06-21,5.0,47.7626,7.063039999999999,camerontoswitzerland,19341412.72295999
2015-06-22,21.0,46.5287,6.652080000000001,hrc29,7589.124838334883
2015-06-23,25.0,46.2048,6.14319,poew,81148.66033634452
2015-06-24,29.0,47.5596,7.583139999999999,1revccm,283926.5542177521
2015-06-25,13.0,45.9977,8.80628,socializech,15304.305210486205
2015-06-26,20.0,46.0769,5.91084,lovewins,15174385.747685349
2015-06-27,56.0,47.3774,8.536760000000001,efsummit,764546.280033821
2015-06-28,70.0,46.765,9.81838,hollywoodchoice,305948.50574038597
2015-06-29,31.0,46.2048,6.14319,skytennis,591650.1329454931
2015-06-30,43.0,46.2048,6.14319,sccr30,112531.53304435273
2015-07-01,47.0,46.9543,7.39491,unhcrngos,35410.66862622474
2015-07-02,40.0,46.2048,6.14319,cheyennemusicvideo,3266136.949942246
2015-07-03,99.0,46.17,6.27502,jackandjacktoswitzerland,89473380.89026445
2015-07-04,60.0,47.6737,6.796689999999999,1yearwwatbern,1419000.4543695685
2015-07-05,6.0,47.3774,8.536760000000001,grefenderum,1340110.7701845176
2015-07-06,7.0,46.5086,5.99324,dont,331170.151833283
2015-07-07,9.0,46.6215,9.79469,futurefrenchcuisine,140432.91914623836
2015-07-08,7.0,46.5086,5.99324,quiz,13531.017062895853
2015-07-09,54.0,47.3774,8.536760000000001,cdacnforum,151239.0412397236
2015-07-10,21.0,46.4339,9.03956,qvemf4,39927.99948950866
2015-07-11,234.0,45.9075,6.083419999999999,getchallenged,2862791.548731288
2015-07-12,4.0,46.1581,6.08775,facetimemenash,83842225.8969003
2015-07-13,21.0,47.6783,8.5949,pathwaysii,456652.91053931246
2015-07-14,28.0,46.9543,7.39491,jonasmemories,278917.02554332145
2015-07-15,40.0,46.9543,7.39491,ohnolouis,365219.6721815179
2015-07-16,12.0,46.9543,7.39491,cocacocasummerfestival,1674898.1253823137
2015-07-17,12.0,47.3717,7.32941,schlefaz,102376.68938398962
2015-07-18,11.0,46.2048,6.14319,ushouldfollowmebecause,33306.25
2015-07-19,22.0,46.8131,8.22414,hp2,964372.2110167182
2015-07-20,20.0,46.8131,8.22414,liamappreciationday,35702.463979075954
2015-07-21,55.0,46.2048,6.14319,bridgesoflovepagputoknicarlos,548854.3224213928
